0,740
6,760
12,780
18,800
24,820
30,840
36,860
42,880
48,900
54,920
60,940
66,960
72,980
78,1000
84,980
90,960
96,940
102,920
108,900
114,880
120,860
126,840
132,820
138,800
144,780
150,760
156,740
162,720
168,700
174,720
180,740
186,760
192,780
198,800
204,820
210,840
216,860
222,880
228,900
234,920
240,940
246,960
252,980
258,1000
264,980
270,960
276,940
282,920
288,900
294,880
300,860
306,840
312,820
318,800
324,780
330,760
336,740
342,720
348,700
354,720
360,740
366,760
372,780
378,800
384,820
390,840
396,860
402,880
408,900
414,920
420,940
426,960
432,980
438,1000
444,980
450,960
456,940
462,920
468,900
474,880
480,860
